  Global optimal solution found.
  Objective value:                              14916.00
  Objective bound:                              14916.00
  Infeasibilities:                              0.000000
  Extended solver steps:                               0
  Total solver iterations:                           498


                       Variable           Value        Reduced Cost
                  BUILDCOST( 1)        7.500000            0.000000
                  BUILDCOST( 2)        6.000000            0.000000
                  BUILDCOST( 3)        6.000000            0.000000
                  BUILDCOST( 4)        6.500000            0.000000
                  BUILDCOST( 5)        10.00000            0.000000
                  BUILDCOST( 6)        6.500000            0.000000
                  BUILDCOST( 7)        7.500000            0.000000
                  BUILDCOST( 8)        8.000000            0.000000
                  BUILDCOST( 9)        8.000000            0.000000
                 BUILDCOST( 10)        9.500000            0.000000
                 BUILDCOST( 11)        9.000000            0.000000
                 BUILDCOST( 12)        9.000000            0.000000
                 BUILDCOST( 13)        9.500000            0.000000
                 BUILDCOST( 14)        8.000000            0.000000
                 BUILDCOST( 15)        8.500000            0.000000
                 BUILDCOST( 16)        6.000000            0.000000
                 BUILDCOST( 17)        10.00000            0.000000
                   DISTENCE( 1)        105.0000            0.000000
                   DISTENCE( 2)        136.0000            0.000000
                   DISTENCE( 3)        181.0000            0.000000
                   DISTENCE( 4)        135.0000            0.000000
                   DISTENCE( 5)        71.00000            0.000000
                   DISTENCE( 6)        113.0000            0.000000
                   DISTENCE( 7)        108.0000            0.000000
                   DISTENCE( 8)        110.0000            0.000000
                   DISTENCE( 9)        96.00000            0.000000
                  DISTENCE( 10)        81.00000            0.000000
                  DISTENCE( 11)        104.0000            0.000000
                  DISTENCE( 12)        92.00000            0.000000
                  DISTENCE( 13)        88.00000            0.000000
                  DISTENCE( 14)        120.0000            0.000000
                  DISTENCE( 15)        118.0000            0.000000
                  DISTENCE( 16)        239.0000            0.000000
                  DISTENCE( 17)        68.00000            0.000000
                     BUDGET( 1)        300.0000            0.000000
                     BUDGET( 2)        200.0000            0.000000
                     BUDGET( 3)        100.0000            0.000000
                     BUDGET( 4)        100.0000            0.000000
                     BUDGET( 5)        100.0000            0.000000
                     BUDGET( 6)        300.0000            0.000000
                     BUDGET( 7)        200.0000            0.000000
                     BUDGET( 8)        100.0000            0.000000
                     BUDGET( 9)        100.0000            0.000000
                    BUDGET( 10)        100.0000            0.000000
                       X( 1, 1)        0.000000            787.5000
                       X( 1, 2)        0.000000            787.5000
                       X( 1, 3)        0.000000            787.5000
                       X( 1, 4)        0.000000            787.5000
                       X( 1, 5)        0.000000            787.5000
                       X( 1, 6)        0.000000            787.5000
                       X( 1, 7)        1.000000            787.5000
                       X( 1, 8)        0.000000            787.5000
                       X( 1, 9)        0.000000            787.5000
                      X( 1, 10)        0.000000            787.5000
                       X( 2, 1)        0.000000            816.0000
                       X( 2, 2)        1.000000            816.0000
                       X( 2, 3)        0.000000            816.0000
                       X( 2, 4)        0.000000            816.0000
                       X( 2, 5)        0.000000            816.0000
                       X( 2, 6)        0.000000            816.0000
                       X( 2, 7)        0.000000            816.0000
                       X( 2, 8)        0.000000            816.0000
                       X( 2, 9)        0.000000            816.0000
                      X( 2, 10)        0.000000            816.0000
                       X( 3, 1)        0.000000            1086.000
                       X( 3, 2)        1.000000            1086.000
                       X( 3, 3)        0.000000            1086.000
                       X( 3, 4)        0.000000            1086.000
                       X( 3, 5)        0.000000            1086.000
                       X( 3, 6)        0.000000            1086.000
                       X( 3, 7)        0.000000            1086.000
                       X( 3, 8)        0.000000            1086.000
                       X( 3, 9)        0.000000            1086.000
                      X( 3, 10)        0.000000            1086.000
                       X( 4, 1)        0.000000            877.5000
                       X( 4, 2)        0.000000            877.5000
                       X( 4, 3)        0.000000            877.5000
                       X( 4, 4)        0.000000            877.5000
                       X( 4, 5)        0.000000            877.5000
                       X( 4, 6)        0.000000            877.5000
                       X( 4, 7)        0.000000            877.5000
                       X( 4, 8)        0.000000            877.5000
                       X( 4, 9)        0.000000            877.5000
                      X( 4, 10)        1.000000            877.5000
                       X( 5, 1)        1.000000            710.0000
                       X( 5, 2)        0.000000            710.0000
                       X( 5, 3)        0.000000            710.0000
                       X( 5, 4)        0.000000            710.0000
                       X( 5, 5)        0.000000            710.0000
                       X( 5, 6)        0.000000            710.0000
                       X( 5, 7)        0.000000            710.0000
                       X( 5, 8)        0.000000            710.0000
                       X( 5, 9)        0.000000            710.0000
                      X( 5, 10)        0.000000            710.0000
                       X( 6, 1)        1.000000            734.5000
                       X( 6, 2)        0.000000            734.5000
                       X( 6, 3)        0.000000            734.5000
                       X( 6, 4)        0.000000            734.5000
                       X( 6, 5)        0.000000            734.5000
                       X( 6, 6)        0.000000            734.5000
                       X( 6, 7)        0.000000            734.5000
                       X( 6, 8)        0.000000            734.5000
                       X( 6, 9)        0.000000            734.5000
                      X( 6, 10)        0.000000            734.5000
                       X( 7, 1)        1.000000            810.0000
                       X( 7, 2)        0.000000            810.0000
                       X( 7, 3)        0.000000            810.0000
                       X( 7, 4)        0.000000            810.0000
                       X( 7, 5)        0.000000            810.0000
                       X( 7, 6)        0.000000            810.0000
                       X( 7, 7)        0.000000            810.0000
                       X( 7, 8)        0.000000            810.0000
                       X( 7, 9)        0.000000            810.0000
                      X( 7, 10)        0.000000            810.0000
                       X( 8, 1)        0.000000            880.0000
                       X( 8, 2)        0.000000            880.0000
                       X( 8, 3)        0.000000            880.0000
                       X( 8, 4)        0.000000            880.0000
                       X( 8, 5)        0.000000            880.0000
                       X( 8, 6)        0.000000            880.0000
                       X( 8, 7)        0.000000            880.0000
                       X( 8, 8)        0.000000            880.0000
                       X( 8, 9)        1.000000            880.0000
                      X( 8, 10)        0.000000            880.0000
                       X( 9, 1)        0.000000            768.0000
                       X( 9, 2)        0.000000            768.0000
                       X( 9, 3)        0.000000            768.0000
                       X( 9, 4)        0.000000            768.0000
                       X( 9, 5)        0.000000            768.0000
                       X( 9, 6)        1.000000            768.0000
                       X( 9, 7)        0.000000            768.0000
                       X( 9, 8)        0.000000            768.0000
                       X( 9, 9)        0.000000            768.0000
                      X( 9, 10)        0.000000            768.0000
                      X( 10, 1)        0.000000            769.5000
                      X( 10, 2)        0.000000            769.5000
                      X( 10, 3)        0.000000            769.5000
                      X( 10, 4)        0.000000            769.5000
                      X( 10, 5)        0.000000            769.5000
                      X( 10, 6)        1.000000            769.5000
                      X( 10, 7)        0.000000            769.5000
                      X( 10, 8)        0.000000            769.5000
                      X( 10, 9)        0.000000            769.5000
                     X( 10, 10)        0.000000            769.5000
                      X( 11, 1)        0.000000            936.0000
                      X( 11, 2)        0.000000            936.0000
                      X( 11, 3)        0.000000            936.0000
                      X( 11, 4)        0.000000            936.0000
                      X( 11, 5)        0.000000            936.0000
                      X( 11, 6)        0.000000            936.0000
                      X( 11, 7)        0.000000            936.0000
                      X( 11, 8)        1.000000            936.0000
                      X( 11, 9)        0.000000            936.0000
                     X( 11, 10)        0.000000            936.0000
                      X( 12, 1)        0.000000            828.0000
                      X( 12, 2)        0.000000            828.0000
                      X( 12, 3)        0.000000            828.0000
                      X( 12, 4)        0.000000            828.0000
                      X( 12, 5)        1.000000            828.0000
                      X( 12, 6)        0.000000            828.0000
                      X( 12, 7)        0.000000            828.0000
                      X( 12, 8)        0.000000            828.0000
                      X( 12, 9)        0.000000            828.0000
                     X( 12, 10)        0.000000            828.0000
                      X( 13, 1)        0.000000            836.0000
                      X( 13, 2)        0.000000            836.0000
                      X( 13, 3)        0.000000            836.0000
                      X( 13, 4)        1.000000            836.0000
                      X( 13, 5)        0.000000            836.0000
                      X( 13, 6)        0.000000            836.0000
                      X( 13, 7)        0.000000            836.0000
                      X( 13, 8)        0.000000            836.0000
                      X( 13, 9)        0.000000            836.0000
                     X( 13, 10)        0.000000            836.0000
                      X( 14, 1)        0.000000            960.0000
                      X( 14, 2)        0.000000            960.0000
                      X( 14, 3)        1.000000            960.0000
                      X( 14, 4)        0.000000            960.0000
                      X( 14, 5)        0.000000            960.0000
                      X( 14, 6)        0.000000            960.0000
                      X( 14, 7)        0.000000            960.0000
                      X( 14, 8)        0.000000            960.0000
                      X( 14, 9)        0.000000            960.0000
                     X( 14, 10)        0.000000            960.0000
                      X( 15, 1)        0.000000            1003.000
                      X( 15, 2)        0.000000            1003.000
                      X( 15, 3)        0.000000            1003.000
                      X( 15, 4)        0.000000            1003.000
                      X( 15, 5)        0.000000            1003.000
                      X( 15, 6)        0.000000            1003.000
                      X( 15, 7)        1.000000            1003.000
                      X( 15, 8)        0.000000            1003.000
                      X( 15, 9)        0.000000            1003.000
                     X( 15, 10)        0.000000            1003.000
                      X( 16, 1)        0.000000            1434.000
                      X( 16, 2)        0.000000            1434.000
                      X( 16, 3)        0.000000            1434.000
                      X( 16, 4)        0.000000            1434.000
                      X( 16, 5)        0.000000            1434.000
                      X( 16, 6)        1.000000            1434.000
                      X( 16, 7)        0.000000            1434.000
                      X( 16, 8)        0.000000            1434.000
                      X( 16, 9)        0.000000            1434.000
                     X( 16, 10)        0.000000            1434.000
                      X( 17, 1)        1.000000            680.0000
                      X( 17, 2)        0.000000            680.0000
                      X( 17, 3)        0.000000            680.0000
                      X( 17, 4)        0.000000            680.0000
                      X( 17, 5)        0.000000            680.0000
                      X( 17, 6)        0.000000            680.0000
                      X( 17, 7)        0.000000            680.0000
                      X( 17, 8)        0.000000            680.0000
                      X( 17, 9)        0.000000            680.0000
                     X( 17, 10)        0.000000            680.0000

                            Row    Slack or Surplus      Dual Price
                              1        14916.00           -1.000000
                              2        65.50000            0.000000
                              3        98.00000            0.000000
                              4        40.00000            0.000000
                              5        164.0000            0.000000
                              6        172.0000            0.000000
                              7        28.50000            0.000000
                              8        209.5000            0.000000
                              9        64.00000            0.000000
                             10        120.0000            0.000000
                             11        122.5000            0.000000
                             12        0.000000            0.000000
                             13        0.000000            0.000000
                             14        0.000000            0.000000
                             15        0.000000            0.000000
                             16        0.000000            0.000000
                             17        0.000000            0.000000
                             18        0.000000            0.000000
                             19        0.000000            0.000000
                             20        0.000000            0.000000
                             21        0.000000            0.000000
                             22        0.000000            0.000000
                             23        0.000000            0.000000
                             24        0.000000            0.000000
                             25        0.000000            0.000000
                             26        0.000000            0.000000
                             27        0.000000            0.000000
                             28        0.000000            0.000000

